,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
225,2006,0,971.98999,941.56,0,9,0,0.0137451,1.242,57.62316619
226,2007,0,939.85999,884.76001,0,9,0,0.0137451,0.492,57.47790482
227,2008,0,931.38,857.77002,0,9,0,0.0137451,0.975,57.62873692
228,2009,0,959.83002,876.33002,0,9,0,0.0137451,1.81,57.65582595
229,2010,0,962.27002,866.96002,0,9,0,0.0137451,2.051,57.51682597
230,2011,0,972.35999,857.77002,1255.431893,9,0,0.0137451,2.227,57.47877014
231,2012,0,9656.766965,9433.0828,1313.182949,9,0,0.0137451,2.961,73.48619
232,2013,0,9563.164149,9342.450635,1292.61417,-2.289778204,-0.147569156,0.419638337,4.824260158,58.28183764
233,2014,0,9642.815262,9418.309015,1318.861091,-2.392610664,-0.181450253,0.417953103,4.829563697,58.22541547
234,2001,0,1131.04,1246.64,0.85506784,6,0.787216,0.5543994,6.196,23.37587
235,2002,0,1148.38,1245.58,1.153102597,6,0.787216,0.5543994,4.442,25.29306
236,2003,0,1191.05,1265.26,1.249940511,6,0.787216,0.5543994,3.951,26.58069
237,2004,0,1214.45,1254.78,0,6,0.787216,0.5543994,3.082,28.34751
238,2005,0,1245.42,1245.42,0,6,0.787216,0.5543994,2.865,34.58277
239,2006,0,1307.59,1266.67,0,7,0.787216,0.5543994,3.752,57.64364726
240,2007,0,1373.85,1293.3101,0,7,0.787216,0.5543994,4.626,57.5267881
241,2008,0,1387.37,1277.71,0,7,0.787216,0.5543994,5.018,57.88943154
242,2009,0,1387.4,1266.6899,0,7,0.787216,0.5543994,2.658,57.76762221
243,2010,0,1381.02,1244.24,0,7,0.787216,0.5543994,2.552,57.74812631
244,2011,0,1413.05,1246.53,1250.625549,7,0.787216,0.5543994,3.325,47.6815
245,2012,0,9530.952071,9310.605437,1292.069787,7,0.787216,0.5543994,4.809956616,58.17045394
246,2013,0,9571.804507,9349.574853,1299.36411,-2.310024993,-0.162595585,0.418875916,4.83131387,58.1874827
247,2014,0,9557.360949,9335.517328,1300.260168,-2.282204802,-0.174469699,0.419577307,4.818863394,58.15352663
248,2001,0,6206.5601,6840.9199,3413.907553,-5,0.3467,0.1195111,63.38,27.60028
249,2002,0,11452.29,12421.68,3906.088707,-5,0.3467,0.1195111,19.463,27.38289
250,2003,0,11972.96,12718.92,4152.055205,-5,0.3467,0.1195111,13.955,58.50887044
251,2004,0,17074.359,17641.35,9457.581285,-5,0.3467,0.1195111,37.999,58.32356247
252,2005,0,20259.4,20259.4,12852.33915,-5,0.3467,0.1195111,9.749,28.19426
253,2006,0,18088.08,17521.939,14557.53326,-5,0.3467,0.1195111,1.26,58.51396561
254,2007,0,19615.27,18465.43,12471.75516,-5,0.3467,0.1195111,4.825758617,58.34477598
255,2008,0,16323.17,15033.03,15332.9948,-5,0.3467,0.1195111,4.838777135,58.49101076
256,2009,0,22369.99,20423.801,9181.48468,-5,0.3467,0.1195111,4.833003717,58.40381149
257,2010,0,17171.76,15471.03,10440.17949,-5,0.3467,0.1195111,4.840263655,58.47858292
258,2011,0,15412.43,13596.12,1333.865747,-5,0.3467,0.1195111,4.831911955,58.48995965
259,2012,0,9662.598573,9438.310092,1318.95544,-5,0.3467,0.1195111,4.825555051,58.35209552
260,2013,0,9584.883391,9362.194582,1301.690966,-2.263961564,-0.175489784,0.417538264,4.824789138,58.23997081
261,2014,0,9599.739602,9377.33007,1303.829543,-2.318859349,-0.14392109,0.418706368,4.829216161,58.16020161
262,2001,0,428.89001,472.72,0,1,0.723472,0.624868,7.418,16.58004
263,2002,0,394.57001,427.95999,0,1,0.723472,0.624868,1.634,18.82189
264,2003,0,400.56,425.51001,0,1,0.723472,0.624868,-2.099,19.71003
265,2004,0,452.13,467.14001,0,1,0.723472,0.624868,11.729,22.12192
266,2005,0,551.72998,551.72998,0,-3,0.723472,0.624868,12.644,24.95154
267,2006,0,609.25,590.17999,0,-3,0.723472,0.624868,11.539,57.5292606
268,2007,0,693.42999,652.78003,0,-3,0.723472,0.624868,11.795,57.6614121
269,2008,0,747.16998,688.10999,0,-3,0.723472,0.624868,11.187,57.78727084
270,2009,0,801.52002,731.78998,0,-3,0.723472,0.624868,10.041,57.46355859
271,2010,0,866.44,780.63,0,-3,0.723472,0.624868,10.567,57.55994495
272,2011,0,900.77002,794.60999,1284.978555,-3,0.723472,0.624868,11.386,57.84925217
273,2012,0,9572.943487,9349.492736,1294.431137,-3,0.723472,0.624868,8.547,58.41216593
274,2013,0,9598.078447,9374.093887,1303.711803,-2.332169005,-0.191924856,0.418402964,9.734,58.31314443
275,2014,0,9622.862836,9398.72343,1303.856199,-2.290040055,-0.178402307,0.418546437,4.823120096,58.29811746
276,2001,0,537.25,592.15997,0,-7,0.6524,0.4253191,8.755,22.41449
277,2002,0,492.60999,534.31,0,-7,0.6524,0.4253191,3.005,23.13196
278,2003,0,491.62,522.25,0,-7,0.6524,0.4253191,-2.656,23.62673
279,2004,0,545.84003,563.96997,0,-7,0.6524,0.4253191,1.452,23.99638
280,2005,0,656.60999,656.60999,0,-7,0.6524,0.4253191,2.574,26.23075
281,2006,0,716.66998,694.22998,0,-7,0.6524,0.4253191,-0.969,27.1314
282,2007,0,808.09003,760.71997,0,-7,0.6524,0.4253191,4.82506379,25.74071
283,2008,0,862.13,793.98999,0,-7,0.6524,0.4253191,4.816753577,26.78337
284,2009,0,915.44,835.79999,0,-7,0.6524,0.4253191,4.824742996,27.95456
285,2010,0,979.38,882.38,0,-7,0.6524,0.4253191,4.834528586,28.57202
286,2011,0,1007.28,888.57001,1275.18323,-7,0.6524,0.4253191,4.82858672,29.27334
287,2012,0,9699.297219,9474.448744,1331.876563,-7,0.6524,0.4253191,4.843311988,29.79656
288,2013,0,9660.228684,9436.168413,1317.84636,-2.331643912,-0.19770253,0.418458227,4.825875439,58.35073397
289,2014,0,9576.276561,9353.439952,1299.87372,-2.348022047,-0.179482222,0.41786383,4.821469746,58.25061645
290,2001,0,1537.12,1694.22,0,2,0.796166,0.0434568,4.827219519,15.93007
