,country,year,warstds,atwards,anoc,ager,autonomy,avgnabo,dem,dlang,drace,drel,durable,ef,gdpgrowth,illiteracy,infant,inst,inst3,life,lmtnest,milper,nat_war,ncontig,nwstate,oil,plural,plurrel,pol4,pol4sq,popdense,relfrac,seceduc,second,sxpnew,sxpsq,tnatwar,trade,warhist,xconst,lpopns,ln_gdpen,numlang,proxregc,partfree,decade1,regd4_alt,etdo4590,geo1,presi,parreg,geo34
5607,Somalia,1985,0,0,0,25,0,0,0,50,0,10,24,0.883256972,0.0185684,60.29999924,109.8000031,0,0,50.20729828,0,5,0,0,0,0,0.219999999,70,-7,49,55.63523102,0.460000008,33.09999847,0.200000003,0.231501097,0.071520573,0,104.5888977,0,1,14.92275238,-0.450985581,19,3.55E-15,0,0,-7,0,0,0,4,0
5608,Somalia,1986,0,0,0,26,0,0,0,50,0,10,25,0.883256972,-0.019166,59.29999924,105,0,0,51.40980148,0,4,0,0,0,0,0.219999999,70,-7,49,57.31200027,0.460000008,21.20000076,0.200000003,0.242842132,0.054995512,0,105.5182037,0,1,14.95244598,-0.420071244,19,8.88E-16,0,0,-7,0,0,0,4,0
5609,Somalia,1987,0,0,0,27,0,0,0,50,0,10,26,0.883256972,-0.028022001,58.20000076,105,0,0,51.40980148,0,-266.2474838,0,0,0,0,0.219999999,70,-7,49,59.0439415,0.460000008,21.20000076,0.200000003,0.180166602,0.032460004,0,99.67337799,0,1,14.98221779,-0.457284838,19,2.22E-16,0,0,-7,0,0,0,4,0
5610,Somalia,1988,0,0,0,28,0,0,0,50,0,10,27,0.883256972,0.034021001,57.09999847,105,0,0,51.40980148,0,-243.7799989,0,0,0,0,0.219999999,70,-7,49,60.83103943,0.460000008,21.20000076,0.200000003,0.169873402,0.028856972,0,92.11506653,0,1,15.01203537,-0.450985581,19,5.55E-17,0,0,-7,0,0,0,4,0
5611,Somalia,1989,0,0,0,29,0,0,0,50,0,10,28,0.883256972,0.012791,56,105,0,0,51.40980148,0,-330.4718188,0,0,0,0,0.219999999,70,-7,49,62.67329025,0.460000008,21.20000076,0.200000003,0.161354005,0.026035115,0,96.25031281,0,1,15.04187107,-0.450985581,19,1.39E-17,0,0,-7,0,0,0,4,0
5612,Somalia,1990,0,0,0,30,0,0,0,50,0,10,29,0.883256972,-0.024257001,55,105,0,0,51.40980148,0,-489.0957144,0,0,0,0,0.219999999,70,-7,49,64.57068634,0.460000008,21.20000076,0.200000003,0.166210398,0.027625896,0,88.50978088,0,1,15.07169628,-0.444725871,19,3.47E-18,0,0,-7,0,0,0,4,0
5613,Somalia,1991,0,0,0,31,0,0,0,50,0,10,30,0.883256972,-0.029608,54,92.40000153,0,1,49.86339951,0,-416.2586588,0,0,0,0,0.219999999,70,-7,49,66.83213806,0.460000008,23.60000038,0.200000003,0.146624804,0.021498833,0,78.80922699,0,1,15.10612011,-0.492658317,19,8.67E-19,0,0,-7,0,0,0,4,0
5614,Somalia,1992,0,0,1,32,0,0.409317404,0,50,0,10,0,0.883256972,-0.062525697,52.70000076,92.40000153,0,1,49.86339951,0,-440.0186568,0,0,0,0,0.219999999,70,0.350086232,-3.047568533,68.94650269,0.460000008,23.60000038,0.200000003,0.147968099,0.021894557,0,74.97633362,0,3.055946829,15.13726616,-0.634878337,19,1,0,0,-5,0,0,0,2.324807122,0
5615,Somalia,1993,0,0,1,33,0,0.425100386,0,50,0,10,0,0.883256972,-0.171803504,51.59999847,92.40000153,0,1,49.86339951,0,-415.0988508,0,0,0,0,0.219999999,70,-0.985623043,-0.085631957,71.15278625,0.460000008,23.60000038,0.200000003,0.195997211,0.045254741,0,63.08623886,0,2.901071873,15.16876507,-0.830023766,19,1,0,0,-4,0,0,0,1.706884724,0
5616,Somalia,1994,0,0,1,34,0,0.568127096,0,50,0,10,0,0.883256972,0.120569803,50.5,92.40000153,0,1,49.86339951,0,-403.7645691,0,0,0,0,0.219999999,70,-2,4,73.35906982,0.460000008,23.60000038,0.200000003,0.171538634,-0.044410311,0,56.47846985,0,2,15.19930172,-0.720951557,19,1,0,0,-1.5,0,0,0,3,0
